Robert,male,61664,,
1927,61664,60680,-984,-1.595744681
1928,60680,59802,-878,-1.44693474
1929,59802,62143,2341,3.914584796
1930,62143,60497,-1646,-2.648729543
1931,60497,59248,-1249,-2.064565185
1932,59248,54205,-5043,-8.511679719
1933,54205,55826,1621,2.990499031
1934,55826,56514,688,1.232400674
1935,56514,58486,1972,3.489400856
1936,58486,61821,3335,5.702219335
1937,61821,62262,441,0.713349833
1938,62262,59640,-2622,-4.211236388
1939,59640,61192,1552,2.602280349
1940,61192,64233,3041,4.96960387
1941,64233,71834,7601,11.83348123
1942,71834,74853,3019,4.202745218
1943,74853,70843,-4010,-5.357166713
1944,70843,69926,-917,-1.294411586
1945,69926,84130,14204,20.31290221
1946,84130,91642,7512,8.929038393
1947,91642,85479,-6163,-6.725082386
1948,85479,83841,-1638,-1.916260134
1949,83841,83540,-301,-0.359012893
1950,83540,86327,2787,3.336126407
1951,86327,86572,245,0.283804603
1952,86572,86135,-437,-0.504782147
1953,86135,86258,123,0.142799094
1954,86258,83676,-2582,-2.993345545
1955,83676,83903,227,0.271284478
1956,83903,81707,-2196,-2.617308082
1957,81707,77285,-4422,-5.412021002
1958,77285,74506,-2779,-3.595781846
1959,74506,72386,-2120,-2.845408423
1960,72386,72908,522,0.721133921
1961,72908,70214,-2694,-3.695067757
1962,70214,70024,-190,-0.270601305
1963,70024,69994,-30,-0.042842454
1964,69994,63146,-6848,-9.783695745
1965,63146,59350,-3796,-6.011465493
1966,59350,56385,-2965,-4.9957877
1967,56385,58229,1844,3.270373326
1968,58229,58342,113,0.194061378
1969,58342,57213,-1129,-1.935141065
1970,57213,50656,-6557,-11.46068201
1971,50656,43035,-7621,-15.04461466
1972,43035,38721,-4314,-10.02439875
1973,38721,37046,-1675,-4.325818032
1974,37046,35337,-1709,-4.61318361
1975,35337,33815,-1522,-4.307100207
1976,33815,34221,406,1.200650599
1977,34221,33381,-840,-2.45463312
1978,33381,34025,644,1.929241185
1979,34025,34273,248,0.728875827
1980,34273,34388,115,0.335541096
1981,34388,34411,23,0.066883797
1982,34411,32739,-1672,-4.858911395
1983,32739,31752,-987,-3.014753047
1984,31752,32078,326,1.026706979
1985,32078,31332,-746,-2.325581395
1986,31332,30232,-1100,-3.510787693
1987,30232,30306,74,0.24477375
1988,30306,30064,-242,-0.798521745
1989,30064,28864,-1200,-3.991484832
1990,28864,26827,-2037,-7.057233925
1991,26827,24086,-2741,-10.21731837
1992,24086,22444,-1642,-6.81723823
1993,22444,20555,-1889,-8.416503297
1994,20555,18583,-1972,-9.593772805
1995,18583,17669,-914,-4.918473874
1996,17669,16301,-1368,-7.742373649
1997,16301,15524,-777,-4.766578738
1998,15524,14535,-989,-6.370780727
1999,14535,13733,-802,-5.517715858
2000,13733,12659,-1074,-7.820578169
2001,12659,12023,-636,-5.02409353
2002,12023,11386,-637,-5.298178491
2003,11386,10672,-714,-6.27085895
2004,10672,10147,-525,-4.919415292
2005,10147,9891,-256,-2.522913176
2006,9891,9366,-525,-5.307855626
2007,9366,8819,-547,-5.840273329
2008,8819,7812,-1007,-11.41852818
2009,7812,7539,-273,-3.494623656
2010,7539,6952,-587,-7.786178538
2011,6952,6926,-26,-0.373993096
2012,6926,6679,-247,-3.566272018
2013,6679,6572,-107,-1.602036233
2014,6572,6572,0,0